"Mutations_to_mutants_GC_1" "Mutants_GC_1" "Mutations_to_mutators_GC_1" "Mutators_GC_1" "Mutations_to_mutant_mutators_GC_1" "Mutant_mutators_GC_1" "Mutations_to_mutants_GC_2" "Mutants_GC_2" "Mutations_to_mutators_GC_2" "Mutators_GC_2" "Mutations_to_mutant_mutators_GC_2" "Mutant_mutators_GC_2" "Mutations_to_mutants_GC_3" "Mutants_GC_3" "Mutations_to_mutators_GC_3" "Mutators_GC_3" "Mutations_to_mutant_mutators_GC_3" "Mutant_mutators_GC_3"
931 7717 86143 827200 80 201 895 17794 85880 1460330 88 303 854 12503 85749 2090473 72 664
838 4726 85737 1195752 119 2512 904 5070 86784 1997578 90 320 892 5586 85598 2968179 77 286
811 5654 86315 1635346 152 616 899 20879 85842 2507261 79 386 871 46112 86138 3157213 78 278
860 7474 85456 1067290 116 364 893 7829 86236 1850951 68 406 849 8463 86014 2464434 69 255
850 8427 85518 872008 81 391 883 9260 85822 1555066 77 303 838 26696 85643 2242494 66 155
867 6252 86396 1085385 106 639 860 9934 86198 1939249 71 214 833 14297 85833 2355677 74 373
914 6026 85626 1671153 191 935 858 30022 86445 2162913 77 1758 891 26633 85839 3013944 66 443
859 4599 85719 1656417 161 736 842 9450 86071 2305226 82 198 833 16429 85687 3144858 73 432
911 6063 86340 1037275 83 4239 849 21938 85816 1728535 95 7011 849 25697 86090 2671696 80 625
888 22630 85635 1240612 129 556 908 74823 86422 2085004 76 268 841 84104 85956 2851992 83 392
862 5918 86029 1192914 117 633 852 9125 86414 1823331 83 267 854 23982 85795 2184939 79 206
880 11544 85764 998343 100 1124 889 7913 86012 1887984 76 218 797 22653 85534 2544180 58 296
855 8543 85912 1148112 107 2169 893 18389 86085 1844510 70 287 858 23231 86140 2530079 69 198
860 6460 85903 1066611 105 2839 889 14102 85778 1682775 59 206 865 5901 86039 2371933 74 266
863 9558 85968 947349 86 317 868 28384 85456 1618125 63 250 882 34304 86250 2239704 86 551
871 9928 86129 1459977 135 987 833 12273 85654 1952135 78 267 862 15571 85182 2435800 81 506
851 12464 86195 1147876 108 871 842 11539 85663 1928340 65 204 874 83260 85905 2763539 73 186
851 12072 85446 1210886 107 861 851 6051 85955 2137488 61 187 823 19835 85591 2729174 89 285
852 6076 85808 1590211 188 873 794 18917 86214 2458595 67 338 849 46496 85886 2936189 65 255
875 6424 85295 4807456 525 3239 861 6535 85906 5880154 64 147 892 17748 85860 6479304 76 290
908 6243 86103 1083039 122 2694 834 8255 85874 1847986 68 547 833 5323 85915 2523949 80 201
909 27249 85630 901662 75 414 825 22222 85481 1556512 80 219 851 21545 85990 2276263 76 213
901 5527 86274 1222401 132 1120 811 22290 86004 1775756 62 202 879 57231 86023 2904800 71 365
876 4912 86134 1159586 114 612 861 27656 86145 1942931 66 717 882 31734 85703 2710881 70 522
838 14684 85424 813398 78 2757 849 14712 85809 1421277 64 7649 865 18855 86216 2389716 74 15826
844 7959 86027 904752 78 222 789 16435 86489 1608548 81 366 888 14907 85826 2154931 65 178
910 5597 85935 965283 97 568 736 17113 86011 1985345 66 187 819 44695 85687 3031279 80 475
885 5430 86013 876567 85 1017 819 19339 86212 1624221 79 452 854 10831 86607 2535008 82 485
882 13155 86313 2578462 255 1450 828 40108 86191 3619904 73 1206 852 79988 86009 4613500 85 8465
842 10302 86192 845862 84 283 910 5683 85765 1600693 75 314 837 7477 86358 2289890 60 182
877 5915 86242 1231211 107 755 842 4547 86096 2094727 75 501 944 5508 86200 2968404 76 233
916 7547 86288 1429532 110 450 855 7564 85579 2133867 58 143 885 18630 85807 3078092 80 649
917 9660 85881 879865 84 397 867 25395 85875 1796641 73 941 897 31082 86336 2681937 57 290
872 6795 85915 1041467 96 406 860 5444 85839 1874745 79 181 884 7074 85921 2843509 72 398
843 357590 85765 2643497 274 1614 841 255372 85626 3649202 67 8304 850 366346 85967 4164094 74 269
855 15139 85946 1049892 105 647 871 22879 85621 2093044 67 180 830 29375 85824 3043427 100 412
857 10790 86003 971224 80 280 864 8534 85655 1716743 84 227 818 11119 86068 2418927 78 331
884 5926 85771 890842 95 974 839 38465 85242 1683945 87 16154 861 11994 86170 2567402 78 308
829 6458 85638 993450 91 392 830 12820 85311 1891423 77 373 803 7508 85986 2819952 69 154
858 7256 85940 17033717 1761 15726 894 7946 86139 17495292 74 17118 848 39656 85674 17495776 87 11481
